sender_id,receiver_id,amount,timestamp,agent_id,device_id,is_fraud,fraud_scenario
U_2467,U_8361,1215.91,2025-01-04 22:23:31,A_6,D_2,0,none
U_1253,U_9606,1181.23,2025-01-01 12:24:22,A_71,D_895,0,none
U_6779,U_3166,2387.72,2025-01-23 01:49:29,A_89,D_812,0,none
U_4924,U_5369,1923.7,2025-01-15 05:16:31,A_217,D_2041,0,none
U_5575,U_4326,1276.61,2025-01-18 06:56:50,A_29,D_4018,0,none
U_2781,U_9918,1722.16,2025-01-15 09:15:33,A_248,D_1910,0,none
U_3759,U_6952,134.89,2025-02-13 20:10:38,A_207,D_1424,0,none
U_2742,U_5966,501.86,2025-02-04 05:05:52,A_243,D_1608,0,none
U_1757,U_9764,426.76,2025-01-05 19:24:36,A_324,D_3407,0,none
U_271,U_4804,1229.73,2025-02-13 13:53:29,A_70,D_4124,0,none
U_2217,U_5158,198.15,2025-02-02 13:37:06,A_51,D_1991,0,none
U_8192,U_946,4295.4,2025-01-22 14:01:40,A_352,D_1643,0,none
U_5192,U_434,595.34,2025-02-11 02:33:36,A_277,D_3881,0,none
U_7687,U_1939,4409.14,2025-02-07 06:05:05,A_113,D_2625,0,none
U_1472,U_5404,522.32,2025-02-02 18:30:04,A_188,D_380,0,none
U_1934,U_2917,240.87,2025-01-22 11:21:13,A_396,D_32,0,none
U_5552,U_829,195.68,2025-01-23 21:14:22,A_270,D_3287,0,none
U_6250,U_6645,2590.25,2025-01-02 03:50:10,A_214,D_930,0,none
U_7090,U_3056,5690.77,2025-01-05 19:07:02,A_286,D_4232,0,none
U_5571,U_9270,4321.58,2025-01-29 13:07:45,A_304,D_3411,0,none
U_2206,U_1734,6954.95,2025-01-22 00:56:38,A_83,D_2251,0,none
U_2566,U_8482,100.29,2025-01-04 07:04:41,A_53,D_201,0,none
U_6634,U_2559,722.14,2025-01-26 00:04:09,A_233,D_2963,0,none
U_2963,U_3332,506.0,2025-01-07 23:46:29,A_331,D_4926,0,none
U_1261,U_4506,1973.09,2025-01-16 07:22:07,A_95,D_892,0,none
U_9209,U_5458,1829.4,2025-02-14 02:15:00,A_387,D_3559,0,none
U_3464,U_9766,1091.81,2025-01-07 02:05:09,A_223,D_1555,0,none
U_6661,U_5927,1588.17,2025-02-13 03:53:04,A_193,D_4633,0,none
U_4986,U_3992,961.13,2025-02-04 11:55:23,A_108,D_3221,0,none
U_4532,U_3919,1122.64,2025-01-25 03:43:08,A_304,D_3969,0,none
U_8964,U_3171,1176.38,2025-02-14 23:37:36,A_4,D_3853,0,none
U_3585,U_8924,1821.39,2025-01-23 04:35:19,A_113,D_3769,0,none
U_8783,U_1298,104.3,2025-02-12 00:12:19,A_96,D_936,1,loan_fraud
U_52,U_423,253.14,2025-02-10 07:44:41,A_63,D_2501,0,none
U_6550,U_3406,80.07,2025-02-09 23:14:18,A_23,D_3590,0,none
